"시점","월별(1)",수술건수 (건)
"시점","월별(1)",계
"2006","1월",5332
"2006","2월",5714
"2006","3월",6442
"2006","4월",5928
"2006","5월",6250
"2006","6월",5997
"2006","7월",5747
"2006","8월",5817
"2006","9월",5351
"2006","10월",4597
"2006","11월",3927
"2006","12월",5042
"2007","1월",7261
"2007","2월",5399
"2007","3월",6820
"2007","4월",6660
"2007","5월",6709
"2007","6월",5976
"2007","7월",6504
"2007","8월",5828
"2007","9월",4738
"2007","10월",8149
"2007","11월",6918
"2007","12월",4835
"2008","1월",6978
"2008","2월",5431
"2008","3월",6652
"2008","4월",6380
"2008","5월",6117
"2008","6월",6191
"2008","7월",6293
"2008","8월",5216
"2008","9월",5692
"2008","10월",5703
"2008","11월",4864
"2008","12월",5817
"2009","1월",6289
"2009","2월",7000
"2009","3월",7664
"2009","4월",6649
"2009","5월",6345
"2009","6월",6916
"2009","7월",6680
"2009","8월",6232
"2009","9월",5688
"2009","10월",5910
"2009","11월",4775
"2009","12월",5249
"2010","1월",6621
"2010","2월",5303
"2010","3월",7226
"2010","4월",6779
"2010","5월",6380
"2010","6월",6621
"2010","7월",6361
"2010","8월",5946
"2010","9월",4785
"2010","10월",5828
"2010","11월",5418
"2010","12월",5294
"2011","1월",6120
"2011","2월",5312
"2011","3월",6983
"2011","4월",6411
"2011","5월",6378
"2011","6월",6529
"2011","7월",5871
"2011","8월",5905
"2011","9월",5181
"2011","10월",5441
"2011","11월",4030
"2011","12월",143
"2012","1월",6047
"2012","2월",6041
"2012","3월",6120
"2012","4월",5657
"2012","5월",5609
"2012","6월",5012
"2012","7월",5808
"2012","8월",5279
"2012","9월",4739
"2012","10월",5871
"2012","11월",5527
"2012","12월",4727
"2013","1월",6281
"2013","2월",5045
"2013","3월",6171
"2013","4월",6159
"2013","5월",5954
"2013","6월",5305
"2013","7월",5758
"2013","8월",5110
"2013","9월",4728
"2013","10월",5697
"2013","11월",5276
"2013","12월",5176
"2014","1월",5555
"2014","2월",5680
"2014","3월",6395
"2014","4월",6189
"2014","5월",5646
"2014","6월",5537
"2014","7월",5970
"2014","8월",5171
"2014","9월",5299
"2014","10월",5843
"2014","11월",5282
"2014","12월",5175
"2015","1월",6090
"2015","2월",4585
"2015","3월",6328
"2015","4월",6158
"2015","5월",5526
"2015","6월",4987
"2015","7월",5432
"2015","8월",5610
"2015","9월",5129
"2015","10월",6541
"2015","11월",6364
"2015","12월",6212
"2016","1월",6312
"2016","2월",5600
"2016","3월",7335
"2016","4월",6462
"2016","5월",6514
"2016","6월",6210
"2016","7월",5927
"2016","8월",5746
"2016","9월",5280
"2016","10월",6306
"2016","11월",6350
"2016","12월",5797
"2017","1월",6320
"2017","2월",6131
"2017","3월",7130
"2017","4월",6362
"2017","5월",6638
"2017","6월",6275
"2017","7월",6079
"2017","8월",6121
"2017","9월",5851
"2017","10월",5975
"2017","11월",6649
"2017","12월",5607
"2018","1월",7093
"2018","2월",5256
"2018","3월",6922
"2018","4월",7093
"2018","5월",6956
"2018","6월",6181
"2018","7월",6626
"2018","8월",6141
"2018","9월",5252
"2018","10월",7207
"2018","11월",6694
"2018","12월",6188
"2019","1월",7237
"2019","2월",5804
"2019","3월",7305
"2019","4월",7495
"2019","5월",7543
"2019","6월",6598
"2019","7월",7222
"2019","8월",6287
"2019","9월",6296
"2019","10월",6946
"2019","11월",6815
"2019","12월",6371
"2020","1월",6650
"2020","2월",6023
"2020","3월",5955
"2020","4월",5955
"2020","5월",6851
"2020","6월",7476
"2020","7월",7235
"2020","8월",6075
"2020","9월",5791
"2020","10월",6983
"2020","11월",7107
"2020","12월",6560
"2021","1월",6890
"2021","2월",5804
"2021","3월",8152
"2021","4월",7851
"2021","5월",7217
"2021","6월",7405
"2021","7월",7145
"2021","8월",6863
"2021","9월",6220
"2021","10월",7466
"2021","11월",7465
"2021","12월",6736
"2022","1월",6751
"2022","2월",6079
"2022","3월",7304
"2022","4월",7364
"2022","5월",7876
"2022","6월",7617
"2022","7월",7026
"2022","8월",6909
"2022","9월",6650
"2022","10월",7368
"2022","11월",7450
"2022","12월",6769
"2023","1월",6900
"2023","2월",7059
"2023","3월",8335
"2023","4월",7358
"2023","5월",7905
"2023","6월",7476
"2023","7월",7190
"2023","8월",7146
"2023","9월",6109
"2023","10월",7509
"2023","11월",7482
"2023","12월",6377
